Organization,Sponsorship Category,OASIS Org ID,SUFIN Account (External ID),Finance Rule Waiver,Contingency Funding,Space Reservation Funding,Final Allocation,Total Funding,Org Category,Years of Sponsorship
Data Science Society at Berkeley,Student Activity Group (SAG),144718,34020307600000,,,,"$2,500","$2,500",Student Activity Groups (SAG),9
DataGood Berkeley,Student Activity Group (SAG),320218,34020487200000,,,,"$1,900","$1,900",Student Activity Groups (SAG),4
DataStory,Student Activity Group (SAG),290145,34020461200000,,,,$650,$650,Student Activity Groups (SAG),4
Datong Society of China Studies,Student Activity Group (SAG),91486,34020304800000,,,,$650,$650,Student Activity Groups (SAG),4
Debate Society of Berkeley,Student Activity Group (SAG),71335,34020022800000,,,,"$14,000","$14,000",Student Activity Groups (SAG),12
DeCadence,Student Activity Group (SAG),45937,34020092000000,,,,"$2,250","$2,250",Student Activity Groups (SAG),24
Delta Consulting ,Student Activity Group (SAG),320987,34020491600000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),5
"Delta Sigma Theta Sorority, Incorporated Kappa Chapter",Student Activity Group (SAG),46108,34020093600000,,,,$500,$500,Student Activity Groups (SAG),2
Department of Integrative Biology Students,Student Activity Group (SAG),54275,34020094400000,,,,"$1,550","$1,550",Student Activity Groups (SAG),5
Dermatological at Berkeley,Student Activity Group (SAG),376131,34020606000000,,,,$500,$500,Student Activity Groups (SAG),1
Design at Berkeley,Student Activity Group (SAG),321623,34020484800000,,,,$650,$650,Student Activity Groups (SAG),4
Diversity and Inclusion in Real Estate,Student Activity Group (SAG),368380,34020563600000,,,,$500,$500,Student Activity Groups (SAG),1
DREAM Campus Ministry,Student Activity Group (SAG),92008,34020379600000,,,,$650,$650,Student Activity Groups (SAG),2
Dutch Student Association at Berkeley,Student Activity Group (SAG),91534,34020401200000,,,,$500,$500,Student Activity Groups (SAG),2
East Asian Caucus,Student Activity Group (SAG),91273,34020590800000,,,,$500,$500,Student Activity Groups (SAG),1
East Asian Culinary Club,Student Activity Group (SAG),361428,34020548800000,,,,$650,$650,Student Activity Groups (SAG),3
East Asian Union,Student Activity Group (SAG),46534,34020098400000,,,,"$8,000","$8,000",Student Activity Groups (SAG),15
Engineering Student Council (ESC),Student Activity Group (SAG),45944,34020103200000,,,,"$80,000","$80,000",Student Activity Groups (SAG),34
English Undergraduate Association,Student Activity Group (SAG),45946,34020105200000,,,,$500,$500,Student Activity Groups (SAG),1
Entomology Club,Student Activity Group (SAG),159392,34020406400000,,,,$500,$500,Student Activity Groups (SAG),2
Entrepreneurs@Berkeley,Student Activity Group (SAG),46522,34020406800000,,,,$500,$500,Student Activity Groups (SAG),4
Environmental Sciences Student Association,Student Activity Group (SAG),91488,34020297200000,,,,$650,$650,Student Activity Groups (SAG),4
